U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.653,4.131,3.561,3.096,2.555,2.071,1.577,1.055,0.561,0.115,4.568,4.045,3.466,3.02,2.479,2.004,1.501,0.979,0.495,0.144,4.53,4.045,3.428,2.973,2.432,1.966,1.454,0.941,0.467,0.039,4.501,3.988,3.514,3.011,2.479,1.985,1.454,0.96,0.486,0.068,4.568,3.969,3.485,2.982,2.508,2.004,1.473,0.97,0.467,0.03,4.511,4.045,3.381,2.982,2.479,1.957,1.454,0.97,0.467,0.068
4.653,4.15,3.561,3.077,2.555,2.052,1.587,1.065,0.599,0.134,4.586,4.055,3.457,3.068,2.489,1.966,1.473,0.979,0.552,0.058,4.539,4.026,3.409,2.992,2.46,1.947,1.463,0.932,0.495,0.049,4.53,3.979,3.485,3.001,2.441,1.947,1.473,0.989,0.467,0.087,4.615,3.96,3.476,2.992,2.479,1.985,1.463,0.998,0.514,0.02,4.492,4.036,3.371,3.001,2.489,1.966,1.473,0.979,0.495,0.096
4.615,4.102,3.523,3.096,2.555,2.061,1.587,1.093,0.561,0.153,4.558,4.064,3.447,3.03,2.489,1.995,1.492,0.979,0.486,0.02,4.53,4.026,3.438,2.982,2.46,1.957,1.454,0.96,0.457,0.049,4.511,3.988,3.495,3.011,2.489,1.957,1.454,0.97,0.438,0.087,4.577,3.979,3.485,2.992,2.489,1.966,1.482,0.951,0.486,0.049,4.511,4.036,3.352,3.001,2.46,1.976,1.444,0.998,0.476,0.077
4.596,4.14,3.542,3.077,2.546,2.052,1.587,1.027,0.552,0.153,4.539,4.083,3.457,3.02,2.498,1.947,1.463,0.998,0.457,0.077,4.568,4.036,3.428,2.963,2.46,1.947,1.473,0.96,0.457,0.039,4.511,3.979,3.504,2.982,2.489,1.976,1.454,0.941,0.476,0.03,4.586,3.95,3.504,3.02,2.489,1.957,1.473,0.998,0.505,0.03,4.52,4.036,3.381,2.982,2.479,1.947,1.473,0.97,0.448,0.096
4.615,4.121,3.542,3.077,2.527,2.118,1.587,1.046,0.571,0.106,4.539,4.083,3.447,2.992,2.489,1.976,1.482,0.989,0.58,0.21,4.53,4.036,3.428,2.992,2.46,1.957,1.473,0.979,0.467,0.03,4.53,3.96,3.476,3.011,2.489,1.985,1.482,0.97,0.486,0.058,4.586,3.969,3.485,2.992,2.46,1.966,1.463,0.998,0.505,0.077,4.53,4.045,3.4,3.011,2.479,1.966,1.444,0.979,0.476,0.049
4.605,4.14,3.561,3.087,2.536,2.071,1.558,1.074,0.542,0.125,4.558,4.045,3.466,3.03,2.47,1.976,1.511,0.998,0.457,0.087,4.52,4.026,3.447,2.992,2.46,1.957,1.454,0.951,0.457,0.068,4.52,3.988,3.495,2.992,2.498,1.995,1.454,0.97,0.486,0.049,4.568,3.969,3.485,2.992,2.498,1.995,1.473,0.979,0.495,0.087,4.511,4.026,3.39,3.001,2.498,1.957,1.444,0.941,0.495,0.058
4.624,4.121,3.542,3.068,2.546,2.08,1.577,1.055,0.561,0.134,4.568,4.045,3.438,3.011,2.489,1.938,1.52,0.97,0.486,0.096,4.539,3.998,3.438,2.973,2.46,1.957,1.463,0.932,0.467,0.049,4.511,3.969,3.495,3.011,2.498,1.995,1.463,0.998,0.476,0.058,4.549,3.95,3.495,3.011,2.489,2.014,1.492,0.989,0.467,0.02,4.52,4.026,3.381,2.992,2.479,1.957,1.463,0.989,0.486,0.049
4.615,4.102,3.552,3.068,2.546,2.08,1.549,1.055,0.58,0.106,4.568,4.055,3.438,3.049,2.47,1.976,1.454,0.979,0.429,0.115,4.558,4.045,3.428,2.954,2.479,1.985,1.463,0.979,0.457,0.02,4.501,3.988,3.495,3.001,2.489,1.985,1.425,0.97,0.476,0.058,4.577,3.988,3.504,2.973,2.479,1.985,1.482,1.017,0.514,0.058,4.52,4.026,3.381,3.03,2.479,1.966,1.463,0.979,0.467,0.058
4.634,4.121,3.561,3.106,2.546,2.09,1.587,1.065,0.571,0.182,4.558,4.083,3.466,3.058,2.508,2.023,1.511,0.998,0.523,0.011,4.53,4.036,3.419,2.982,2.479,1.938,1.463,0.97,0.457,0.049,4.52,3.979,3.504,3.011,2.47,1.985,1.473,0.989,0.476,0.077,4.568,3.979,3.466,2.992,2.489,2.004,1.473,1.008,0.505,0.068,4.53,4.036,3.409,3.011,2.479,1.985,1.463,0.989,0.486,0.049
4.615,4.121,3.542,3.077,2.546,2.071,1.568,1.074,0.599,0.153,4.558,4.083,3.457,3.058,2.498,1.947,1.482,1.036,0.486,0.106,4.549,4.045,3.447,2.954,2.46,1.976,1.454,0.922,0.505,0.087,4.511,3.979,3.504,3.011,2.498,1.995,1.454,0.97,0.542,0.068,4.577,3.969,3.485,2.992,2.489,2.004,1.492,1.008,0.542,0.106,4.539,4.045,3.371,3.001,2.47,1.985,1.473,0.97,0.476,0.049
4.643,4.131,3.533,3.087,2.546,2.061,1.568,1.046,0.59,0.115,4.577,4.064,3.466,3.02,2.489,1.966,1.473,1.017,0.495,0.115,4.549,4.026,3.466,2.973,2.451,1.966,1.463,0.951,0.438,0.077,4.511,3.96,3.514,3.011,2.489,1.985,1.454,0.989,0.476,0.039,4.558,3.96,3.504,2.982,2.489,2.004,1.482,1.027,0.505,0.058,4.539,4.036,3.381,3.02,2.489,1.995,1.454,0.97,0.438,0.077
4.605,4.131,3.523,3.058,2.536,2.042,1.587,1.065,0.561,0.125,4.539,4.074,3.457,3.039,2.498,2.014,1.454,1.036,0.523,0.058,4.53,4.007,3.447,2.982,2.46,1.985,1.473,0.96,0.448,0.011,4.53,4.007,3.476,2.992,2.489,1.985,1.463,0.979,0.448,0.058,4.568,3.988,3.495,3.02,2.479,2.004,1.473,1.008,0.486,0.03,4.53,4.036,3.4,2.982,2.451,1.985,1.454,0.989,0.467,0.096
4.624,4.15,3.561,3.106,2.564,2.09,1.577,1.046,0.59,0.144,4.53,4.026,3.438,3.02,2.489,1.985,1.511,0.96,0.438,0.068,4.53,4.036,3.419,2.963,2.47,1.985,1.482,0.979,0.457,0.068,4.52,3.988,3.504,2.992,2.47,1.976,1.435,0.96,0.467,0.03,4.568,3.96,3.514,2.963,2.489,2.004,1.454,0.998,0.514,0.068,4.53,4.026,3.381,3.02,2.479,1.976,1.473,0.979,0.457,0.049
4.634,4.15,3.571,3.087,2.546,2.061,1.568,1.074,0.59,0.163,4.539,4.026,3.419,3.049,2.517,1.985,1.482,0.989,0.505,0.058,4.558,3.998,3.438,2.963,2.46,1.976,1.444,0.97,0.467,0.068,4.511,3.96,3.495,3.001,2.365,1.966,1.435,0.96,0.495,0.068,4.577,3.941,3.466,2.992,2.479,1.966,1.473,0.97,0.467,0.039,4.53,4.007,3.381,3.03,2.46,1.985,1.463,0.951,0.467,0.077
4.643,4.14,3.571,3.087,2.546,2.061,1.615,1.055,0.571,0.134,4.558,4.045,3.457,3.011,2.498,2.014,1.482,0.989,0.467,0.106,4.549,4.036,3.409,2.954,2.46,1.976,1.473,0.97,0.476,0.077,4.511,3.988,3.504,3.011,2.47,1.976,1.482,0.998,0.486,0.087,4.568,3.988,3.514,3.011,2.489,1.966,1.473,0.932,0.448,0.011,4.52,4.017,3.39,3.001,2.489,1.976,1.463,0.979,0.467,0.058
4.643,4.131,3.552,3.106,2.527,2.052,1.587,1.055,0.618,0.153,4.586,4.074,3.457,3.049,2.479,2.004,1.463,0.989,0.448,0.125,4.52,3.998,3.438,3.011,2.451,1.966,1.454,0.97,0.476,0.03,4.501,3.988,3.476,2.973,2.46,2.014,1.435,0.97,0.467,0.039,4.586,3.95,3.476,2.982,2.479,1.957,1.492,0.97,0.505,0.03,4.549,4.036,3.371,3.03,2.479,1.976,1.444,0.979,0.476,0.106
4.653,4.188,3.571,3.096,2.546,2.061,1.577,1.046,0.552,0.096,4.577,4.045,3.447,3.049,2.489,1.966,1.511,1.036,0.523,0.058,4.539,4.036,3.419,3.02,2.479,1.957,1.473,0.97,0.457,0.02,4.511,3.988,3.495,3.03,2.479,1.966,1.473,0.96,0.476,0.03,4.558,3.988,3.476,2.982,2.517,2.004,1.482,0.97,0.495,0.039,4.53,4.045,3.362,3.001,2.489,1.966,1.463,0.951,0.495,0.087
4.624,4.131,3.533,3.087,2.546,2.071,1.577,1.065,0.59,0.153,4.52,4.055,3.428,3.058,2.498,1.985,1.482,0.989,0.457,0.106,4.549,4.055,3.438,2.973,2.451,1.957,1.473,0.941,0.476,0.068,4.511,4.007,3.495,3.001,2.489,1.995,1.463,0.998,0.505,0.03,4.577,3.988,3.485,3.001,2.489,1.985,1.501,0.96,0.505,0.049,4.52,4.045,3.381,3.011,2.479,1.985,1.482,0.989,0.457,0.106
4.605,4.112,3.561,3.106,2.555,2.052,1.587,1.046,0.571,0.115,4.53,4.093,3.447,2.982,2.489,2.023,1.501,0.989,0.438,0.153,4.53,4.045,3.438,3.011,2.46,1.966,1.463,0.96,0.448,0.02,4.492,3.969,3.514,3.001,2.479,1.966,1.435,0.951,0.486,0.096,4.558,3.96,3.485,3.011,2.498,2.014,1.482,0.951,0.505,0.02,4.473,4.007,3.39,2.992,2.489,1.976,1.454,0.96,0.505,0.087
4.615,4.121,3.523,3.087,2.546,2.052,1.568,1.055,0.599,0.106,4.568,4.074,3.466,3.049,2.498,2.014,1.444,0.998,0.505,0.03,4.577,4.055,3.438,2.954,2.441,1.947,1.482,0.96,0.457,0.03,4.511,3.969,3.495,3.011,2.47,1.995,1.435,0.97,0.457,0.077,4.577,3.988,3.495,2.982,2.489,1.947,1.501,0.96,0.476,0.039,4.539,4.055,3.39,3.001,2.479,1.985,1.444,0.979,0.467,0.096
4.615,4.169,3.552,3.096,2.546,2.08,1.587,1.074,0.59,0.115,4.549,4.055,3.457,3.03,2.47,1.985,1.454,0.998,0.467,0.106,4.52,4.026,3.438,2.982,2.47,1.966,1.473,0.96,0.486,0.03,4.511,3.969,3.495,2.982,2.46,1.985,1.492,1.008,0.429,0.058,4.577,3.979,3.476,3.011,2.498,1.985,1.511,0.96,0.467,0.077,4.52,4.036,3.409,3.001,2.46,1.957,1.444,0.96,0.467,0.106
4.615,4.093,3.552,3.087,2.564,2.08,1.568,1.055,0.58,0.144,4.596,4.055,3.457,3.02,2.479,1.947,1.482,0.979,0.476,0.058,4.539,4.026,3.428,3.001,2.47,1.985,1.482,0.97,0.438,0.077,4.511,3.988,3.495,3.011,2.479,1.995,1.473,0.951,0.495,0.068,4.558,3.998,3.466,3.011,2.489,1.957,1.444,0.96,0.486,0.011,4.549,4.045,3.371,2.982,2.46,1.985,1.444,0.989,0.457,0.068
4.643,4.121,3.561,3.087,2.555,2.061,1.606,1.055,0.561,0.134,4.577,4.064,3.476,3.02,2.479,2.033,1.482,1.008,0.457,0.058,4.539,4.026,3.419,2.992,2.46,1.966,1.473,0.951,0.476,0.049,4.53,3.95,3.495,2.992,2.479,2.004,1.463,0.989,0.514,0.087,4.577,3.95,3.485,2.982,2.498,1.985,1.482,0.951,0.476,0.077,4.52,3.998,3.39,2.992,2.479,1.976,1.463,0.979,0.476,0.068
4.624,4.121,3.542,3.087,2.546,2.08,1.596,1.065,0.59,0.163,4.539,4.017,3.438,3.011,2.508,1.947,1.463,1.017,0.523,0.106,4.568,4.036,3.447,2.944,2.46,1.957,1.473,0.97,0.457,0.049,4.52,3.941,3.495,3.011,2.489,1.985,1.454,0.989,0.505,0.058,4.568,3.988,3.466,2.973,2.498,1.966,1.463,0.998,0.476,0.02,4.482,4.026,3.352,3.011,2.47,1.985,1.454,0.998,0.514,0.068
4.643,4.112,3.542,3.077,2.555,2.08,1.596,1.065,0.571,0.144,4.52,4.055,3.457,3.011,2.517,1.995,1.463,1.027,0.457,0.106,4.558,4.064,3.438,2.963,2.47,1.976,1.454,0.96,0.505,0.011,4.53,3.979,3.485,3.011,2.498,1.947,1.454,0.932,0.448,0.096,4.568,3.941,3.476,2.992,2.489,1.976,1.492,0.998,0.476,0.03,4.492,4.007,3.39,3.001,2.489,1.985,1.473,0.979,0.495,0.077
4.634,4.131,3.533,3.077,2.574,2.09,1.615,1.074,0.599,0.115,4.596,4.036,3.428,3.058,2.498,2.014,1.454,1.017,0.514,0.077,4.52,4.055,3.428,2.992,2.489,1.976,1.454,0.951,0.476,0.068,4.511,4.026,3.495,3.001,2.479,1.957,1.482,0.989,0.505,0.096,4.586,3.969,3.504,3.001,2.489,1.995,1.492,1.017,0.486,0.058,4.501,4.036,3.39,3.011,2.479,1.966,1.463,0.979,0.467,0.058
4.624,4.131,3.552,3.096,2.564,2.08,1.568,1.046,0.59,0.125,4.605,4.074,3.447,3.011,2.508,1.995,1.501,1.027,0.467,0.144,4.539,4.026,3.419,2.992,2.46,1.976,1.463,0.96,0.438,0.049,4.52,3.979,3.504,2.992,2.479,1.995,1.473,0.979,0.476,0.058,4.568,3.979,3.476,3.001,2.479,1.995,1.463,0.979,0.514,0.087,4.501,4.064,3.381,2.992,2.489,1.966,1.463,0.97,0.486,0.087
4.634,4.112,3.542,3.096,2.546,2.09,1.596,1.046,0.561,0.153,4.577,4.064,3.485,3.02,2.527,1.976,1.492,1.017,0.41,0.001,4.549,4.074,3.428,2.992,2.451,1.976,1.473,0.96,0.457,0.077,4.53,3.988,3.504,2.992,2.46,1.957,1.492,0.989,0.505,0.068,4.577,3.969,3.504,2.992,2.489,1.995,1.492,0.97,0.514,0.087,4.558,4.017,3.362,2.992,2.489,1.947,1.444,0.989,0.467,0.068
4.662,4.131,3.542,3.077,2.546,2.09,1.615,1.046,0.58,0.163,4.577,4.055,3.466,3.049,2.489,1.976,1.52,1.008,0.448,0.125,4.558,4.026,3.428,2.992,2.451,1.976,1.444,0.97,0.467,0.03,4.539,3.998,3.476,3.011,2.498,1.985,1.473,0.979,0.467,0.068,4.577,3.969,3.476,2.992,2.479,1.938,1.473,0.979,0.495,0.058,4.511,4.036,3.362,3.001,2.489,1.947,1.473,0.979,0.438,0.068
4.634,4.14,3.552,3.068,2.546,2.08,1.596,1.046,0.599,0.125,4.549,4.064,3.466,3.077,2.489,1.995,1.473,0.998,0.438,0.106,4.549,4.007,3.409,2.963,2.451,1.976,1.473,0.96,0.467,0.058,4.549,3.969,3.485,3.001,2.47,1.966,1.454,0.97,0.505,0.096,4.586,3.969,3.438,2.992,2.489,1.966,1.482,0.998,0.505,0.001,4.52,3.998,3.4,3.001,2.451,1.976,1.444,0.979,0.457,0.096
4.605,4.112,3.552,3.087,2.536,2.099,1.587,1.065,0.609,0.153,4.549,4.045,3.438,3.03,2.508,1.966,1.53,1.008,0.457,0.077,4.539,4.017,3.457,2.992,2.479,1.976,1.463,0.951,0.457,0.03,4.53,3.979,3.495,2.992,2.498,1.985,1.444,0.989,0.476,0.039,4.586,3.979,3.514,2.982,2.479,1.966,1.473,0.941,0.457,0.03,4.511,4.055,3.409,3.011,2.47,1.976,1.444,1.008,0.467,0.077
4.634,4.15,3.571,3.068,2.555,2.061,1.606,1.046,0.561,0.144,4.586,4.093,3.466,3.068,2.46,1.995,1.549,1.017,0.41,0.068,4.52,4.036,3.419,2.973,2.46,1.976,1.473,0.97,0.505,0.068,4.52,3.979,3.457,3.011,2.47,1.985,1.435,0.979,0.542,0.049,4.586,3.979,3.485,2.973,2.47,1.957,1.492,0.922,0.438,0.049,4.52,4.036,3.362,3.001,2.46,1.966,1.454,0.97,0.467,0.077
4.624,4.169,3.533,3.058,2.574,2.08,1.606,1.084,0.561,0.144,4.596,4.064,3.485,3.068,2.489,1.985,1.53,0.998,0.505,0.087,4.568,4.017,3.438,2.982,2.46,1.966,1.444,0.951,0.467,0.049,4.52,3.988,3.495,2.992,2.46,1.985,1.454,0.979,0.467,0.049,4.568,3.969,3.495,2.973,2.508,2.004,1.482,0.979,0.523,0.087,4.511,4.045,3.381,3.011,2.489,1.928,1.473,0.979,0.467,0.087
4.634,4.14,3.533,3.087,2.536,2.09,1.587,1.093,0.571,0.134,4.558,4.036,3.428,3.039,2.479,2.014,1.482,1.046,0.523,0.096,4.539,4.036,3.419,2.992,2.451,1.966,1.482,0.97,0.476,0.03,4.511,3.988,3.504,3.001,2.489,1.957,1.425,0.951,0.486,0.087,4.586,3.979,3.476,3.02,2.489,1.995,1.492,0.951,0.505,0.039,4.511,4.045,3.39,2.992,2.489,1.976,1.482,0.97,0.448,0.068
4.643,4.14,3.523,3.068,2.555,2.061,1.558,1.036,0.571,0.163,4.586,4.055,3.428,3.068,2.489,2.033,1.501,1.008,0.514,0.106,4.539,4.017,3.466,2.982,2.47,1.957,1.473,0.97,0.486,0.058,4.53,3.969,3.514,2.992,2.479,1.985,1.492,0.97,0.448,0.087,4.558,3.96,3.485,2.982,2.46,1.985,1.463,0.998,0.542,0.058,4.492,4.007,3.371,3.011,2.498,1.985,1.435,1.008,0.467,0.087
4.624,4.112,3.552,3.087,2.564,2.014,1.577,1.046,0.609,0.144,4.568,4.064,3.428,3.058,2.489,2.023,1.482,1.036,0.542,0.106,4.558,4.017,3.447,2.992,2.451,1.976,1.501,0.989,0.476,0.039,4.539,3.95,3.476,3.011,2.479,1.966,1.482,0.96,0.476,0.068,4.568,3.988,3.466,3.001,2.498,2.004,1.463,0.96,0.467,0.068,4.52,4.064,3.381,2.992,2.47,1.976,1.454,0.97,0.476,0.096
4.624,4.14,3.533,3.068,2.546,2.061,1.587,1.065,0.628,0.115,4.586,4.064,3.438,3.068,2.489,2.014,1.52,1.008,0.533,0.087,4.511,4.026,3.447,2.992,2.46,1.966,1.492,0.96,0.457,0.001,4.511,3.998,3.495,3.001,2.489,1.966,1.454,0.989,0.523,0.077,4.586,3.979,3.476,2.982,2.498,1.985,1.501,0.951,0.514,0.011,4.539,4.026,3.381,3.02,2.46,1.966,1.473,0.97,0.457,0.058
4.653,4.169,3.571,3.106,2.555,2.071,1.596,1.027,0.571,0.134,4.568,4.017,3.438,3.049,2.47,2.004,1.492,0.979,0.523,0.087,4.539,4.026,3.438,2.992,2.451,1.928,1.482,0.97,0.476,0.039,4.511,3.998,3.485,2.973,2.46,1.938,1.454,1.008,0.486,0.02,4.52,4.007,3.485,3.02,2.479,2.023,1.482,0.989,0.476,0.087,4.558,4.045,3.352,3.011,2.479,1.995,1.444,0.96,0.457,0.106
4.596,4.131,3.533,3.068,2.536,2.09,1.587,1.046,0.59,0.115,4.586,4.026,3.428,3.058,2.546,2.004,1.482,1.008,0.505,0.134,4.558,4.045,3.419,2.963,2.47,1.976,1.463,0.97,0.467,0.039,4.549,3.988,3.476,2.982,2.46,1.957,1.425,0.979,0.505,0.039,4.586,4.017,3.485,2.973,2.489,2.014,1.482,0.979,0.542,0.058,4.539,4.007,3.4,3.001,2.489,1.966,1.473,0.989,0.486,0.096
4.653,4.15,3.523,3.087,2.564,2.08,1.606,1.065,0.552,0.163,4.577,4.055,3.457,3.001,2.489,1.985,1.501,0.989,0.486,0.087,4.549,4.026,3.447,2.982,2.46,1.957,1.473,0.97,0.514,0.077,4.53,3.96,3.476,3.001,2.46,1.985,1.463,0.979,0.467,0.077,4.558,3.979,3.476,2.982,2.489,1.976,1.463,1.008,0.505,0.096,4.52,4.055,3.352,3.011,2.479,1.957,1.444,0.979,0.476,0.068
4.624,4.131,3.533,3.096,2.536,2.033,1.568,1.074,0.609,0.125,4.53,4.083,3.457,3.011,2.489,2.004,1.539,0.998,0.495,0.106,4.511,4.036,3.438,2.973,2.47,1.957,1.482,0.97,0.467,0.058,4.558,3.988,3.504,3.03,2.46,1.928,1.482,0.97,0.476,0.087,4.558,3.969,3.476,3.011,2.489,1.976,1.482,0.979,0.467,0.03,4.53,4.026,3.39,3.001,2.498,2.004,1.444,0.96,0.486,0.096
4.596,4.15,3.533,3.087,2.555,2.052,1.587,1.046,0.59,0.144,4.577,4.055,3.447,3.011,2.508,1.995,1.568,1.036,0.523,0.144,4.568,4.036,3.428,2.992,2.46,1.957,1.482,0.951,0.486,0.02,4.549,3.969,3.504,3.001,2.479,1.976,1.444,0.989,0.448,0.096,4.586,3.96,3.466,3.011,2.489,2.014,1.473,0.979,0.457,0.03,4.53,4.083,3.39,3.001,2.489,1.976,1.425,0.951,0.457,0.077
4.662,4.14,3.533,3.077,2.546,2.071,1.568,1.084,0.561,0.125,4.624,4.083,3.466,3.011,2.498,1.966,1.52,0.998,0.495,0.087,4.558,4.064,3.428,2.973,2.46,1.985,1.444,0.97,0.457,0.03,4.53,3.969,3.504,2.982,2.47,1.995,1.444,0.96,0.448,0.068,4.577,3.95,3.457,2.973,2.479,1.995,1.482,0.979,0.476,0.049,4.558,4.074,3.362,3.039,2.489,1.947,1.482,0.989,0.476,0.068
4.634,4.15,3.533,3.087,2.546,2.09,1.596,1.065,0.599,0.106,4.577,4.045,3.447,3.011,2.527,1.985,1.53,0.97,0.523,0.125,4.53,4.007,3.447,2.982,2.451,1.957,1.454,0.922,0.476,0.087,4.52,3.969,3.504,2.992,2.479,1.947,1.482,0.96,0.476,0.039,4.549,4.007,3.495,3.001,2.498,1.985,1.454,0.97,0.505,0.02,4.511,4.045,3.343,3.011,2.479,1.976,1.454,0.989,0.457,0.087
